name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-446 d,391,2.39 Earths,16.31,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5566/kepler-446-d/,Super Earth,2015,2.39 Earths,1.35 x Earth,Unknown,5.1 days,0,Kepler-446,b,kepler-446 b,Transit,0,3,1.565409,0.0000033,-0.0000033,0,,,,,0,,,0,87.42,0.62,-0.37,0,,,,,,0.13,0.02,-0.02,0,,,,,0,1,0,1,18h49m00.05s,282.250207,+44d55m16.0s,44.921102,120,,,0,96.6,0.51,-0.51,0,16.257,,0,Kepler-band,16.31,,0,3359,60,-60,0,0.22,0.05,-0.05,0,0.24,0.04,-0.04,0,1/14/2015,Kepler
Kepler-447 b,881,1.37 Jupiters,12.379,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5567/kepler-447-b/,Gas Giant,2015,1.37 Jupiters,1.65 x Jupiter,0.0769 AU,7.8 days,0.12,Kepler-446,c,kepler-446 c,Transit,0,3,3.036179,0.0000055,-0.0000055,0,,,,,0,,,0,88.97,0.57,-0.46,0,,,,,,0.1,0.02,-0.02,0,,,,,0,1,0,1,18h49m00.05s,282.250207,+44d55m16.0s,44.921102,120,,,0,96.6,0.51,-0.51,0,16.257,,0,Kepler-band,16.31,,0,3359,60,-60,0,0.22,0.05,-0.05,0,0.24,0.04,-0.04,0,1/14/2015,Kepler
Kepler-448 c,1318,22 Jupiters,11.253,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7527/kepler-448-c/,Gas Giant,2017,22 Jupiters,1.07 x Jupiter,4.2 AU,6.8 years,0.65,Kepler-446,d,kepler-446 d,Transit,0,3,5.148921,0.000022,-0.000022,0,,,,,0,,,0,88.72,0.17,-0.19,0,,,,,,0.12,0.02,-0.02,0,,,,,0,1,0,1,18h49m00.05s,282.250207,+44d55m16.0s,44.921102,120,,,0,96.6,0.51,-0.51,0,16.257,,0,Kepler-band,16.31,,0,3359,60,-60,0,0.22,0.05,-0.05,0,0.24,0.04,-0.04,0,1/14/2015,Kepler
Kepler-449 b,910,4.88 Earths,11.226,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5464/kepler-449-b/,Super Earth,2015,4.88 Earths,2.056 x Earth,Unknown,12.6 days,0.03,Kepler-447,b,kepler-447 b,Transit,0,1,7.79430132,0.00000182,-0.00000182,0,0.0769,0.0062,-0.0079,0,0.123,0.037,-0.036,0,86.55,0.24,-0.32,0,1.37,0.48,-0.46,0,Mass,1.65,0.59,-0.56,0,0.4,0.94,-0.32,0,0,1,0,1,19h01m04.46s,285.268586,+48d33m36.0s,48.560013,270.12,1.85,-1.85,0,270.12,1.85,-1.85,0,12.394,,0,Kepler-band,12.379,,0,5493,62,-62,0,1,0.21,-0.21,0,1.05,0.19,-0.19,0,2/19/2015,Kepler
Kepler-449 c,910,8.07 Earths,11.226,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5465/kepler-449-c/,Neptune-like,2015,8.07 Earths,0.247 x Jupiter,Unknown,33.7 days,0.05,KOI-12,c,kepler-448 c,Transit Timing Variations,0,2,2500,2400,-700,0,4.2,2.4,-0.9,0,0.65,0.13,-0.09,0,,,,,22,7,-5,0,Mass,,,,,,,,,0,1,0,0,19h49m48.90s,297.453731,+41d00m39.6s,41.010991,403.99,4.42,-4.42,0,403.99,4.42,-4.42,0,11.353,,0,Kepler-band,11.253,,0,,,,,1.5,0.1,-0.1,0,1.4,0.07,-0.06,0,11/7/2019,Kepler
Kepler-44 b,4009,1 Jupiter,14.69,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1910/kepler-44-b/,Gas Giant,2011,1 Jupiter,1.09 x Jupiter,0.0446 AU,3.2 days,< 0.066,Kepler-449,b,kepler-449 b,Transit,0,2,12.58242,0.00027,-0.00027,0,,,,,0.03,0.28,-0.03,0,,,,,,,,,,0.183,0.006,-0.006,0,,,,,0,1,0,1,19h34m55.88s,293.732821,+41d54m03.0s,41.900829,279,7.98,-7.68,0,,,,,11.411,,0,Kepler-band,11.226,,0,,,,,0.97,0.05,-0.05,0,1.47,0.03,-0.03,0,5/21/2015,Kepler
Kepler-450 b,1507,31.3 Earths,11.653,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5466/kepler-450-b/,Neptune-like,2015,31.3 Earths,0.548 x Jupiter,Unknown,28.5 days,0.02,Kepler-449,c,kepler-449 c,Transit,0,2,33.6727,0.001,-0.001,0,,,,,0.05,0.24,-0.05,0,,,,,,,,,,0.247,0.008,-0.008,0,,,,,0,1,0,1,19h34m55.88s,293.732821,+41d54m03.0s,41.900829,279,7.98,-7.68,0,,,,,11.411,,0,Kepler-band,11.226,,0,,,,,0.97,0.05,-0.05,0,1.47,0.03,-0.03,0,5/21/2015,Kepler
Kepler-450 c,1507,7.37 Earths,11.653,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5467/kepler-450-c/,Neptune-like,2015,7.37 Earths,0.234 x Jupiter,Unknown,15.4 days,0.02,Kepler-45,b,kepler-45 b,Transit,0,1,2.455239,0.000004,-0.000004,0,0.03,,,0,0.11,0.1,-0.09,0,87,0.7,-0.7,0,0.505,0.09,-0.09,0,Mass,0.96,0.11,-0.11,0,0.8,0.5,-0.5,0,0,1,0,1,19h31m29.50s,292.8729,+41d03m51.3s,41.064261,333,33,-33,0,386.04,6.47,-6.47,0,16.88,0.05,0,V (Johnson),15.98,,0,3820,90,-90,0,0.59,0.06,-0.06,0,0.55,0.11,-0.11,0,5/14/2014,Kepler
Kepler-450 d,1507,0.514 Earths,11.653,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5468/kepler-450-d/,Terrestrial,2015,0.514 Earths,0.837 x Earth,Unknown,7.5 days,0.14,Kepler-450,b,kepler-450 b,Transit,0,3,28.454851,0.000025,-0.000025,0,,,,,0.02,0.14,-0.02,0,,,,,,,,,,0.548,0.029,-0.029,0,,,,,0,1,0,1,19h41m56.76s,295.486509,+51d00m48.6s,51.0135,462,5.23,-5.23,0,462,5.23,-5.23,0,11.684,,0,Kepler-band,11.653,,0,,,,,1.35,0.08,-0.08,0,1.57,0.09,-0.09,0,5/21/2015,Kepler
Kepler-452 b,1829,3.29 Earths,13.405,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5471/kepler-452-b/,Super Earth,2015,3.29 Earths,1.63 x Earth,1.046 AU,384.8 days,0,Kepler-450,c,kepler-450 c,Transit,0,3,15.413135,0.000085,-0.000085,0,,,,,0.02,0.17,-0.02,0,,,,,,,,,,0.234,0.012,-0.012,0,,,,,0,1,0,1,19h41m56.76s,295.486509,+51d00m48.6s,51.0135,462,5.23,-5.23,0,462,5.23,-5.23,0,11.684,,0,Kepler-band,11.653,,0,,,,,1.35,0.08,-0.08,0,1.57,0.09,-0.09,0,5/21/2015,Kepler
Kepler-453 b,1463,16 Earths,13.523,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5520/kepler-453-b/,Neptune-like,2015,16 Earths,0.553 x Jupiter,0.7903 AU,240.5 days,0.04,Kepler-450,d,kepler-450 d,Transit,0,3,7.51464,0.00023,-0.00023,0,,,,,0.14,0.24,-0.14,0,,,,,,,,,,0.075,0.006,-0.006,0,,,,,0,1,0,0,19h41m56.76s,295.486509,+51d00m48.6s,51.0135,462,5.23,-5.23,0,462,5.23,-5.23,0,11.684,,0,Kepler-band,11.653,,0,,,,,1.35,0.08,-0.08,0,1.57,0.09,-0.09,0,5/21/2015,Kepler
Kepler-454 b,758,6.3566 Earths,11.57,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4851/kepler-454-b/,Neptune-like,2015,6.3566 Earths,0.21 x Jupiter,0.0954 AU,10.6 days,0,Kepler-452,b,kepler-452 b,Transit,1,1,384.843,0.007,-0.012,0,1.046,0.019,-0.015,0,,,,,89.806,0.134,-0.049,0,,,,,,0.145,0.021,-0.018,0,,,,,0,1,0,2,19h44m00.89s,296.003688,+44d16m39.2s,44.277561,560.62,5.32,-5.32,0,560.62,5.32,-5.32,0,13.426,,0,Kepler-band,13.405,,0,5757,85,-85,0,1.04,0.05,-0.05,0,1.11,0.15,-0.09,0,7/23/2015,Kepler
Kepler-454 c,758,4.46 Jupiters,11.57,2015,https://exoplanets.nasa.gov/exoplanet-catalog/418/kepler-454-c/,Gas Giant,2015,4.46 Jupiters,1.15 x Jupiter,Unknown,1.4 years,0.02,Kepler-453,b,kepler-453 b,Transit,0,1,240.503,0.053,-0.053,0,0.7903,0.0028,-0.0028,0,0.0359,0.0088,-0.0088,0,89.443,0.009,-0.009,0,0.05034,,,1,Mass,0.553,0.003,-0.003,0,,,,,0,1,0,0,18h52m57.91s,283.241297,+46d22m42.5s,46.378471,448.58,2.77,-2.77,0,448.58,2.77,-2.77,0,13.552,,0,Kepler-band,13.523,,0,5527,100,-100,0,0.94,0.01,-0.01,0,0.83,0.01,-0.01,0,3/15/2018,Kepler
Kepler-458 c,5450,16.4 Earths,13.907,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7102/kepler-458-c/,Neptune-like,2016,16.4 Earths,0.375 x Jupiter,Unknown,20.7 days,0,Kepler-454,b,kepler-454 b,Transit,0,2,10.57,0.00000007,-0.00000007,0,,,,,0,,,0,87.09,0.2,-0.2,0,0.02,0,0,0,Mass,0.21,0.02,-0.02,0,,,,,0,1,0,1,19h09m54.85s,287.478529,+38d13m43.9s,38.228866,232.41,1.32,-1.32,0,232.41,1.32,-1.32,0,11.57,,0,V (Johnson),11.44,,0,5701,34,-34,0,0.85,0.22,-0.22,0,1.05,0.07,-0.07,0,12/6/2018,Kepler
Kepler-45 b,1086,0.505 Jupiters,16.88,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1911/kepler-45-b/,Gas Giant,2011,0.505 Jupiters,0.96 x Jupiter,0.03 AU,2.5 days,0.11,Kepler-454,c,kepler-454 c,Radial Velocity,0,2,523.9,0.7,-0.7,0,,,,,0.0214,0.0077,-0.0077,0,,,,,4.46,0.12,-0.12,0,Msini,,,,,,,,,0,1,0,0,19h09m54.85s,287.478529,+38d13m43.9s,38.228866,232.41,1.32,-1.32,0,232.41,1.32,-1.32,0,11.57,,0,V (Johnson),11.44,,0,5701,34,-34,0,0.85,0.22,-0.22,0,1.05,0.07,-0.07,0,12/3/2015,Multiple Facilities
Kepler-460 c,4314,26.1 Earths,13.751,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7175/kepler-460-c/,Neptune-like,2016,26.1 Earths,0.492 x Jupiter,Unknown,220.1 days,0,KIC 9663113,c,kepler-458 c,Transit,0,2,20.74028413,0.0000335,-0.0000335,0,,,,,,,,,,,,,,,,,,0.375,0.056,-0.036,0,,,,,0,1,0,1,19h48m10.90s,297.045421,+46d19m43.3s,46.328701,1670.88,48.28,-48.28,0,1670.88,48.28,-48.28,0,13.955,,0,Kepler-band,13.907,,0,6065,155,-180,0,0.98,0.13,-0.13,0,1.03,0.12,-0.12,0,5/10/2016,Kepler
Kepler-461 b,1527,7.18 Earths,13.333,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5504/kepler-461-b/,Neptune-like,2016,7.18 Earths,0.23 x Jupiter,Unknown,8.3 days,0,Kepler-46,b,kepler-46 b,Transit,0,3,33.60134,0.00021,-0.0002,0,0.1968,0.0029,-0.0028,0,0.01,0.01,-0.01,0,89.038,0.075,-0.067,0,6,,,1,Mass,0.808,0.042,-0.043,0,14,,,1,1,1,0,1,19h17m04.50s,289.268744,+42d36m15.0s,42.604176,794.54,17.48,-17.48,0,794.54,17.48,-17.48,0,15.262,,0,Kepler-band,15.255,,0,5309,200,-200,0,,,,,0.79,0.44,-0.44,0,5/14/2014,Kepler
Kepler-462 b,2391,13.7 Earths,11.615,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5505/kepler-462-b/,Neptune-like,2016,13.7 Earths,0.336 x Jupiter,Unknown,84.7 days,0.06,Kepler-46,c,kepler-46 c,Transit Timing Variations,0,3,57.011,0.051,-0.061,0,0.2799,0.0041,-0.004,0,0.0146,0.0034,-0.0036,0,87.4,1.6,-1,0,0.376,0.021,-0.019,0,Mass,,,,,,,,,1,1,0,0,19h17m04.50s,289.268744,+42d36m15.0s,42.604176,794.54,17.48,-17.48,0,794.54,17.48,-17.48,0,15.262,,0,Kepler-band,15.255,,0,5309,200,-200,0,,,,,0.79,0.44,-0.44,0,5/14/2014,Kepler
Kepler-463 b,1096,9.53 Earths,12.86,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5506/kepler-463-b/,Neptune-like,2016,9.53 Earths,0.272 x Jupiter,Unknown,9 days,0,Kepler-46,d,kepler-46 d,Transit,0,3,6.766589,0.000022,-0.000022,0,0.067,,,0,,,,,,,,,,,,,,0.146,0.082,-0.082,0,,,,,1,1,0,2,19h17m04.50s,289.268744,+42d36m15.0s,42.604176,794.54,17.48,-17.48,0,794.54,17.48,-17.48,0,15.262,,0,Kepler-band,15.255,,0,5309,200,-200,0,,,,,0.79,0.44,-0.44,0,5/14/2014,Kepler
Kepler-464 b,2130,10.9 Earths,12.672,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5507/kepler-464-b/,Neptune-like,2016,10.9 Earths,0.294 x Jupiter,Unknown,7.3 days,0,KIC 5437945,c,kepler-460 c,Transit,0,2,220.1303357,0.0006389,-0.0006389,0,,,,,,,,,,,,,,,,,,0.492,0.185,-0.065,0,,,,,0,1,0,1,19h13m53.97s,288.474857,+40d39m04.9s,40.651357,1322.48,29.86,-29.86,0,1322.48,29.86,-29.86,0,13.771,,0,Kepler-band,13.751,,0,6340,176,-199,0,1.07,0.17,-0.17,0,1.24,0.29,-0.29,0,5/10/2016,Kepler
Kepler-465 b,1915,9.01 Earths,12.591,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5508/kepler-465-b/,Neptune-like,2016,9.01 Earths,0.263 x Jupiter,Unknown,9.9 days,0,Kepler-461,b,kepler-461 b,Transit,0,1,8.31378306,0.00000766,-0.00000766,0,,,,,,,,,,,,,,,,,,0.23,0.006,-0.005,0,,,,,0,1,0,1,19h28m59.78s,292.249069,+46d09m53.5s,46.164867,468,12.7,-12.55,0,706.25,6.82,-6.82,0,13.704,,0,Kepler-band,13.333,,0,5634,43.2,-45.6,0,0.98,0.02,-0.03,0,0.91,0.02,-0.02,0,5/10/2016,Kepler
Kepler-466 b,1422,8.5 Earths,12.763,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5587/kepler-466-b/,Neptune-like,2016,8.5 Earths,0.254 x Jupiter,Unknown,51.1 days,0,Kepler-462,b,kepler-462 b,Transit,0,1,84.6879808,0.0002068,-0.0002068,0,,,,,,,,,,,,,,,,,,0.336,0.055,-0.046,0,,,,,0,1,0,1,19h59m17.08s,299.821155,+43d48m51.4s,43.814274,733,121.85,-101.46,0,606.8,10.95,-10.95,0,11.642,,0,Kepler-band,11.615,,0,7070,58.86,-57.56,0,1.59,0.11,-0.11,0,2.04,0.33,-0.28,0,5/10/2016,Kepler
Kepler-466 c,1422,2.1 Earths,12.763,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5588/kepler-466-c/,Super Earth,2016,2.1 Earths,1.25 x Earth,Unknown,3.7 days,0,Kepler-463,b,kepler-463 b,Transit,0,1,8.98101683,0.00000316,-0.00000316,0,,,,,,,,,,,,,,,,,,0.272,0.038,-0.027,0,,,,,0,1,0,1,19h55m44.89s,298.937046,+44d51m28.5s,44.85791,336,48.51,-32,0,399.32,3.55,-3.55,0,12.87,,0,Kepler-band,12.86,,0,5661,105.05,-99.18,0,0.87,0.05,-0.05,0,0.9,0.13,-0.08,0,5/10/2016,Kepler
Kepler-467 b,1494,5.69 Earths,12.359,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5589/kepler-467-b/,Neptune-like,2016,5.69 Earths,0.201 x Jupiter,Unknown,25 days,0,Kepler-464,b,kepler-464 b,Transit,0,1,7.25696522,0.00000577,-0.00000577,0,,,,,,,,,,,,,,,,,,0.294,0.014,-0.012,0,,,,,0,1,0,1,19h39m20.44s,294.835173,+48d58m56.5s,48.982361,653,31.39,-26.41,0,680.59,9.89,-9.89,0,12.702,,0,Kepler-band,12.672,,0,5933,67.87,-54.45,0,1.21,0.07,-0.08,0,1.59,0.07,-0.06,0,5/10/2016,Kepler
Kepler-468 b,1546,Unknown,13.73,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5590/kepler-468-b/,Gas Giant,2016,Unknown,1.19 x Jupiter,Unknown,38.5 days,0,Kepler-465,b,kepler-465 b,Transit,0,1,9.94067247,0.00000655,-0.00000655,0,,,,,,,,,,,,,,,,,,0.263,0.022,-0.014,0,,,,,0,1,0,1,18h58m13.37s,284.55572,+46d03m49.8s,46.063828,587,49.9,-34.38,0,561.98,7.08,-7.08,0,12.663,,0,Kepler-band,12.591,,0,6310,63.38,-60.38,0,1.23,0.04,-0.03,0,1.29,0.11,-0.07,0,5/10/2016,Kepler
Kepler-46 b,2592,6 Jupiters,15.255,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1912/kepler-46-b/,Gas Giant,2012,6 Jupiters,0.808 x Jupiter,0.1968 AU,33.6 days,0.01,Kepler-466,b,kepler-466 b,Transit,0,2,51.07926307,0.00006345,-0.00006345,0,,,,,,,,,,,,,,,,,,0.254,0.02,-0.015,0,,,,,0,1,0,1,19h42m35.69s,295.648711,+48d29m44.0s,48.495564,436,34.11,-27.08,0,383.6,29.82,-29.82,0,12.772,,0,Kepler-band,12.763,,0,5927,77.35,-68.52,0,1.04,0.04,-0.04,0,1.05,0.08,-0.06,0,5/10/2016,Kepler
Kepler-46 c,2592,0.376 Jupiters,15.255,2012,https://exoplanets.nasa.gov/exoplanet-catalog/4909/kepler-46-c/,Gas Giant,2012,0.376 Jupiters,1.21 x Jupiter,0.2799 AU,57 days,0.01,Kepler-466,c,kepler-466 c,Transit,0,2,3.70921385,0.00000632,-0.00000632,0,,,,,,,,,,,,,,,,,,0.112,0.009,-0.006,0,,,,,0,1,0,1,19h42m35.69s,295.648711,+48d29m44.0s,48.495564,436,34.11,-27.08,0,383.6,29.82,-29.82,0,12.772,,0,Kepler-band,12.763,,0,5927,77.35,-68.52,0,1.04,0.04,-0.04,0,1.05,0.08,-0.06,0,5/10/2016,Kepler
