name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6988/11-comae-berenices-b/,Gas Giant,2007,19.4 Jupiters,1.08 x Jupiter,1.29 AU,326 days,0.23,11 Com,b,11 com b,Radial Velocity,0,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,,,,,19.4,1.5,-1.5,0,Msini,,,,,,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0,93.37,1.92,-1.92,0,4.74,,0,V (Johnson),4.372,,0,4742,100,-100,0,2.7,0.3,-0.3,0,19,2,-2,0,5/14/2014,Xinglong Station
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6989/11-ursae-minoris-b/,Gas Giant,2009,14.74 Jupiters,1.09 x Jupiter,1.53 AU,1.4 years,0.08,11 UMi,b,11 umi b,Radial Velocity,0,1,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,0.08,0.03,-0.03,0,,,,,14.74,2.5,-2.5,0,Msini,,,,,,,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0,125.72,1.97,-1.97,0,5.016,0.009,0,V (Johnson),4.5,,0,4213,46,-46,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,9/6/2018,Thueringer Landessternwarte Tautenburg
14 Andromedae b,247,4.8 Jupiters,5.227,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6990/14-andromedae-b/,Gas Giant,2008,4.8 Jupiters,1.15 x Jupiter,0.83 AU,185.8 days,0,14 And,b,14 and b,Radial Velocity,0,1,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,,,,,4.8,,,0,Msini,,,,,,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0,75.59,0.71,-0.71,0,5.227,0.009,0,V (Johnson),4.872,,0,4813,20,-20,0,2.2,0.1,-0.2,0,11,1,-1,0,5/14/2014,Okayama Astrophysical Observatory
14 Herculis b,59,4.66 Jupiters,6.61,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6991/14-herculis-b/,Gas Giant,2002,4.66 Jupiters,1.15 x Jupiter,2.93 AU,4.9 years,0.37,14 Her,b,14 her b,Radial Velocity,0,1,1773.40002,2.5,-2.5,0,2.93,0.08,-0.08,0,0.37,0,0,0,,,,,4.66,0.15,-0.15,0,Msini,,,,,,,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0,17.94,0.01,-0.01,0,6.61,0.02,0,V (Johnson),6.379,,0,5338,25,-25,0,0.9,0.04,-0.04,0,0.93,0.01,-0.01,0,9/6/2018,W. M. Keck Observatory
16 Cygni B b,69,1.78 Jupiters,6.25,1996,https://exoplanets.nasa.gov/exoplanet-catalog/6992/16-cygni-b-b/,Gas Giant,1996,1.78 Jupiters,1.2 x Jupiter,1.66 AU,2.2 years,0.68,16 Cyg B,b,16 cyg b b,Radial Velocity,0,1,798.5,1,-1,0,1.66,0.03,-0.03,0,0.68,0.02,-0.02,0,,,,,1.78,0.08,-0.08,0,Msini,,,,,,,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,0.01,-0.01,0,21.15,0.01,-0.01,0,6.25,,0,V (Johnson),6.057,,0,5750,8,-8,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,9/6/2018,Multiple Observatories
18 Delphini b,249,10.3 Jupiters,5.506,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6993/18-delphini-b/,Gas Giant,2008,10.3 Jupiters,1.11 x Jupiter,2.6 AU,2.7 years,0.08,18 Del,b,18 del b,Radial Velocity,0,1,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,,,,,10.3,,,0,Msini,,,,,,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0,76.38,0.62,-0.62,0,5.506,0.009,0,V (Johnson),5.244,,0,4979,18,-18,0,2.3,,,0,8.5,,,0,5/14/2014,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7061/1rxs-j1609291-210524-b/,Gas Giant,2008,8 Jupiters,1.664 x Jupiter,330.0 AU,6505.9 years,0,1RXS J160929.1-210524,b,1rxs j160929.1-210524 b,Imaging,0,1,,,,,330,,,0,,,,,,,,,8,1,-1,0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,14,-14,0,139.67,1.32,-1.32,0,,,,,12.057,,0,4060,300,-200,0,0.85,0.2,-0.1,0,,,,,4/1/2015,Gemini Observatory
24 Bootis b,314,0.91 Jupiters,5.58,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7274/24-bootis-b/,Gas Giant,2018,0.91 Jupiters,1.24 x Jupiter,0.19 AU,30.4 days,0.04,24 Boo,b,24 boo b,Radial Velocity,0,1,30.3506,0.0078,-0.0077,0,0.19,0.012,-0.009,0,0.042,0.048,-0.029,0,,,,,0.91,0.13,-0.1,0,Msini,,,,,,,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0,96.25,0.64,-0.64,0,5.58,,0,V (Johnson),5.305,,0,4893,15,-15,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,4/26/2018,Okayama Astrophysical Observatory
24 Sextantis b,236,1.99 Jupiters,6.441,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6994/24-sextantis-b/,Gas Giant,2010,1.99 Jupiters,1.19 x Jupiter,1.333 AU,452.8 days,0.09,24 Sex,b,24 sex b,Radial Velocity,0,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0,6.441,0.01,0,V (Johnson),6.198,,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,5/14/2014,Lick Observatory
24 Sextantis c,236,0.86 Jupiters,6.441,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6995/24-sextantis-c/,Gas Giant,2010,0.86 Jupiters,1.24 x Jupiter,2.08 AU,2.4 years,0.29,24 Sex,c,24 sex c,Radial Velocity,0,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,,,,,0.86,0.35,-0.22,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0,6.441,0.01,0,V (Johnson),6.198,,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,5/14/2014,Lick Observatory
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7671/2mass-j01033563-5515561-ab-b/,Gas Giant,2013,13 Jupiters,1.1 x Jupiter,84.0 AU,1767.2 years,0,2MASS J01033563-5515561 A,b,2mass j01033563-5515561 ab b,Imaging,0,1,,,,0,84,,,0,,,,0,,,,0,13,1,-1,0,Mass,,,,0,,,,0,0,0,0,0,01h03m35.63s,15.898458,-55d15m56.1s,-55.265583,47.2,3.1,-3.1,0,,,,,,,,,,,,,,,0,0.19,0.02,-0.02,0,,,,0,9/3/2020,Paranal Observatory
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7062/2mass-j01225093-2439505-b/,Gas Giant,2013,24.5 Jupiters,1.0 x Jupiter,52.0 AU,593.2 years,0,2MASS J01225093-2439505,b,2mass j01225093-2439505 b,Imaging,0,1,,,,,52,6,-6,0,,,,,,,,,24.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,4,-4,0,33.86,0.09,-0.09,0,14.24,0.07,0,V (Johnson),12.903,,0,3530,50,-50,0,0.4,0.05,-0.05,0,,,,,5/14/2014,W. M. Keck Observatory
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7063/2mass-j02192210-3925225-b/,Gas Giant,2015,13.9 Jupiters,1.44 x Jupiter,156.0 AU,5878.1 years,0,2MASS J02192210-3925225,b,2mass j02192210-3925225 b,Imaging,0,1,,,,,156,10,-10,0,,,,,,,,,13.9,1.1,-1.1,0,Mass,1.44,0.03,-0.03,0,,,,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,2.6,-2.6,0,40.09,0.19,-0.19,0,,,,,15.012,,0,3064,76,-76,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,5/14/2015,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7064/2mass-j044144892301513-b/,Gas Giant,2010,7.5 Jupiters,1.13 x Jupiter,15.0 AU,411 years,0,2MASS J04414489+2301513,b,2mass j04414489+2301513 b,Imaging,0,1,,,,,15,,,0,,,,,,,,,7.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,,0,120.42,5.48,-5.48,0,,,,,18.967,,0,,,,,0.02,,,0,,,,,5/14/2014,Hubble Space Telescope
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7065/2mass-j12073346-3932539-b/,Gas Giant,2004,4 Jupiters,1.16 x Jupiter,46.0 AU,2207.3 years,0,2MASS J12073346-3932539,b,2mass j12073346-3932539 b,Imaging,0,1,,,,,46,5,-5,0,,,,,,,,,4,1,-1,0,Mass,,,,,,,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,0.65,-0.65,0,64.42,0.65,-0.65,0,20.15,0.19,0,V (Johnson),17.408,,0,,,,,0.02,,,0,,,,,5/14/2014,Paranal Observatory
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7108/2mass-j193832604603591-b/,Gas Giant,2015,1.9 Jupiters,1.2 x Jupiter,0.92 AU,416 days,0,2MASS J19383260+4603591,b,2mass j19383260+4603591 b,Eclipse Timing Variations,0,1,416,2,-2,0,0.92,0.02,-0.02,0,,,,,,,,,1.9,0.1,-0.1,0,Mass,,,,,,,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,6.48,-6.48,0,400.77,6.48,-6.48,0,12.264,,0,Kepler-band,12.138,,0,,,,,0.48,0.03,-0.03,0,,,,,6/4/2015,Kepler
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7066/2mass-j214029311625183-a-b/,Gas Giant,2009,20.95 Jupiters,0.92 x Jupiter,Unknown,20.1 years,0.26,2MASS J21402931+1625183 A,b,2mass j21402931+1625183 a b,Imaging,0,1,7336.5,1934.5,-584,0,,,,,0.26,0.06,-0.06,0,46.2,2.5,-8.7,0,20.95,83.79,-20.95,0,Mass,0.92,0.39,-0.36,0,,,,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,10,-10,0,33.12,0.48,-0.48,0,,,,,17.396,,0,2300,80,-80,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,5/14/2014,W. M. Keck Observatory
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7239/2mass-j223624524751425-b/,Gas Giant,2016,12.5 Jupiters,1.1 x Jupiter,230.0 AU,4505.7 years,0,2MASS J22362452+4751425,b,2mass j22362452+4751425 b,Imaging,0,1,,,,,230,20,-20,0,,,,,,,,,12.5,1.5,-1.5,0,Mass,,,,,,,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,10,-10,0,69.71,0.16,-0.16,0,12.51,0.03,0,V (Johnson),11.948,,0,4045,35,-35,0,0.6,0.05,-0.05,0,,,,,11/10/2016,W. M. Keck Observatory
30 Arietis B b,146,13.82 Jupiters,6.962,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6996/30-arietis-b-b/,Gas Giant,2009,13.82 Jupiters,1.1 x Jupiter,0.99 AU,335.1 days,0.29,30 Ari B,b,30 ari b b,Radial Velocity,0,1,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,0,0.29,0.09,-0.09,0,,,,,13.82,1.8,-1.8,0,Msini,,,,,,,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,0.1,-0.1,0,44.71,0.1,-0.1,0,6.962,0.011,0,V (Johnson),6.961,,0,6331,61,-61,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,9/6/2018,Thueringer Landessternwarte Tautenburg
42 Draconis b,296,3.88 Jupiters,4.82,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6997/42-draconis-b/,Gas Giant,2008,3.88 Jupiters,1.16 x Jupiter,1.19 AU,479.1 days,0.38,4 UMa,b,4 uma b,Radial Velocity,0,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,,,,,7.1,1.6,-1.6,0,Msini,,,,,,,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,1.18,-1.18,0,73.58,1.18,-1.18,0,4.61,,0,V (Johnson),4.16,,0,4415,70,-70,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,5/14/2014,Thueringer Landessternwarte Tautenburg
47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996,https://exoplanets.nasa.gov/exoplanet-catalog/6998/47-ursae-majoris-b/,Gas Giant,1996,2.53 Jupiters,1.18 x Jupiter,2.1 AU,3 years,0.03,42 Dra,b,42 dra b,Radial Velocity,0,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,,,,,3.88,0.85,-0.85,0,Msini,,,,,,,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,1.32,-1.32,0,90.86,1.32,-1.32,0,4.82,,0,V (Johnson),4.364,,0,4200,70,-70,0,0.98,0.05,-0.05,0,22.03,1,-1,0,5/14/2014,Thueringer Landessternwarte Tautenburg
47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,https://exoplanets.nasa.gov/exoplanet-catalog/6999/47-ursae-majoris-c/,Gas Giant,2001,0.54 Jupiters,1.27 x Jupiter,3.6 AU,6.6 years,0.1,47 UMa,b,47 uma b,Radial Velocity,0,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,,,,,2.53,0.07,-0.06,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,5/14/2014,Lick Observatory
47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7000/47-ursae-majoris-d/,Gas Giant,2009,1.64 Jupiters,1.2 x Jupiter,11.6 AU,38.4 years,0.16,47 UMa,c,47 uma c,Radial Velocity,0,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,,,,,0.54,0.066,-0.073,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,5/14/2014,Lick Observatory
4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6985/4-ursae-majoris-b/,Gas Giant,2006,7.1 Jupiters,1.13 x Jupiter,0.87 AU,269.3 days,0.43,47 UMa,d,47 uma d,Radial Velocity,0,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,,,,,1.64,0.29,-0.48,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,5/14/2014,Lick Observatory
51 Eridani b,96,2 Jupiters,5.23,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7109/51-eridani-b/,Gas Giant,2015,2 Jupiters,1.19 x Jupiter,12.0 AU,32 years,0.45,51 Eri,b,51 eri b,Imaging,0,1,11688,6209.25,-3287.25,0,12,4,-2,0,0.45,0.1,-0.15,0,133,14,-7,0,,,,,,,,,,,,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,0.3,-0.3,0,29.78,0.12,-0.12,0,5.23,,0,V (Johnson),5.122,,0,,,,,1.75,0.05,-0.05,0,,,,,7/11/2019,Gemini Observatory
51 Pegasi b,50,0.46 Jupiters,5.5,1995,https://exoplanets.nasa.gov/exoplanet-catalog/7001/51-pegasi-b/,Gas Giant,1995,0.46 Jupiters,1.27 x Jupiter,0.0527 AU,4.2 days,0.01,51 Peg,b,51 peg b,Radial Velocity,0,1,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,,,,,0.472,0.039,-0.039,0,Msini,,,,,,,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,0.03,-0.03,0,15.47,0.03,-0.03,0,5.5,,0,V (Johnson),5.256,,0,5793,70,-70,0,1.12,0.06,-0.06,0,1.2,,,0,5/14/2014,Haute-Provence Observatory
55 Cancri b,41,0.8306 Jupiters,5.96,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7002/55-cancri-b/,Gas Giant,1996,0.8306 Jupiters,1.24 x Jupiter,0.115227 AU,14.7 days,0,55 Cnc,b,55 cnc b,Radial Velocity,0,5,14.65152,0.00015,-0.00015,0,0.115227,0.000001,-0.000001,0,0.0034,0.0032,-0.0032,0,90,,,0,0.8306,0.0033,-0.0033,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10/29/2014,Lick Observatory
55 Cancri c,41,0.1714 Jupiters,5.96,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7003/55-cancri-c/,Gas Giant,2004,0.1714 Jupiters,0.76 x Jupiter,0.241376 AU,44.4 days,0.02,55 Cnc,c,55 cnc c,Radial Velocity,0,5,44.4175,0.0073,-0.0073,0,0.241376,0.000026,-0.000026,0,0.02,0.031,-0.031,0,90,,,0,0.1714,0.0055,-0.0055,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10/29/2014,McDonald Observatory
55 Cancri d,41,3.878 Jupiters,5.96,2002,https://exoplanets.nasa.gov/exoplanet-catalog/7004/55-cancri-d/,Gas Giant,2002,3.878 Jupiters,1.16 x Jupiter,5.503 AU,13.2 years,0.02,55 Cnc,d,55 cnc d,Radial Velocity,0,5,4825,39,-39,0,5.503,0.03,-0.03,0,0.019,0.013,-0.013,0,90,,,0,3.878,0.068,-0.068,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10/29/2014,Lick Observatory
55 Cancri e,41,8.08 Earths,5.96,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7005/55-cancri-e/,Super Earth,2004,8.08 Earths,1.91 x Earth,0.01544 AU,0.7 days,0.03,55 Cnc,e,55 cnc e,Radial Velocity,0,5,0.736539,0.000007,-0.000007,0,0.01544,0.00009,-0.00009,0,,,,,83.3,0.9,-0.8,0,0.02542,0.00098,-0.00098,0,Mass,0.17,0.007,-0.007,0,6.4,0.8,-0.7,0,0,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,1/31/2019,McDonald Observatory
55 Cancri f,41,0.141 Jupiters,5.96,2007,https://exoplanets.nasa.gov/exoplanet-catalog/7006/55-cancri-f/,Gas Giant,2007,0.141 Jupiters,0.677 x Jupiter,0.788 AU,262 days,0.31,55 Cnc,f,55 cnc f,Radial Velocity,0,5,262,0.51,-0.51,0,0.788,0.001,-0.001,0,0.305,0.075,-0.075,0,90,,,0,0.141,0.012,-0.012,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10/29/2014,Multiple Observatories
61 Virginis b,28,5.1 Earths,4.74,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7007/61-virginis-b/,Neptune-like,2009,5.1 Earths,2.11 x Earth,0.050201 AU,4.2 days,0.12,6 Lyn,b,6 lyn b,Radial Velocity,0,1,934.3,8.6,-8.6,0,2.11,0.11,-0.11,0,0.073,0.036,-0.036,0,,,,,2.01,0.077,-0.077,0,Msini,,,,,,,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,0.27,-0.27,0,54.74,0.27,-0.27,0,5.86,,0,V (Johnson),5.588,,0,4938,,,0,1.44,,,0,5.2,,,0,12/6/2018,Okayama Astrophysical Observatory
61 Virginis c,28,18.2 Earths,4.74,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7008/61-virginis-c/,Neptune-like,2009,18.2 Earths,0.398 x Jupiter,0.2175 AU,38 days,0.14,61 Vir,b,61 vir b,Radial Velocity,0,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,,,,,0.016,0.002,-0.002,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,5/14/2014,Multiple Observatories
61 Virginis d,28,22.9 Earths,4.74,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7009/61-virginis-d/,Neptune-like,2009,22.9 Earths,0.456 x Jupiter,0.476 AU,123 days,0.35,61 Vir,c,61 vir c,Radial Velocity,0,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,,,,,0.057,0.003,-0.003,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,5/14/2014,Multiple Observatories
6 Lyncis b,179,2.01 Jupiters,5.86,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6986/6-lyncis-b/,Gas Giant,2008,2.01 Jupiters,1.19 x Jupiter,2.11 AU,2.6 years,0.07,61 Vir,d,61 vir d,Radial Velocity,0,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,,,,,0.072,0.008,-0.008,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,5/14/2014,Multiple Observatories
70 Virginis b,58,7.49 Jupiters,4.97,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7010/70-virginis-b/,Gas Giant,1996,7.49 Jupiters,1.13 x Jupiter,0.481 AU,116.7 days,0.4,7 CMa,b,7 cma b,Radial Velocity,0,2,735.1,14.8,-1,0,1.758,0.024,-0.001,0,0.06,0.03,-0.03,0,90,,,0,1.85,0.06,-0.06,0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0,19.82,0.16,-0.16,0,3.92,,0,V (Johnson),3.578,,0,4826,45,-55,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,10/24/2019,Anglo-Australian Telescope
75 Ceti b,271,3 Jupiters,5.35,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7011/75-ceti-b/,Gas Giant,2012,3 Jupiters,1.17 x Jupiter,2.1 AU,1.9 years,0.12,7 CMa,c,7 cma c,Radial Velocity,0,2,996,1.5,-52.4,0,2.153,0.003,-0.08,0,0.08,0.05,-0.04,0,90,,,0,0.87,0.06,-0.06,0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0,19.82,0.16,-0.16,0,3.92,,0,V (Johnson),3.578,,0,4826,45,-55,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,10/24/2019,Multiple Observatories
